                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  0.517,                 0.4233,                 0.9806,                0.84978,                0.94512,                0.95222,                0.83902,                0.54736,                0.45422,                0.92169,               0.001307,               0.001307,               0.001307
                     37,                 0.5016,                0.41662,                0.96667,                0.90259,                0.90401,                0.95048,                 0.8407,                0.50804,                0.42796,                0.92724,              0.0012872,              0.0012872,              0.0012872
                     38,                0.50241,                0.41618,                0.97553,                0.95869,                0.87805,                0.94451,                0.83128,                0.57005,                0.43745,                0.93867,              0.0012674,              0.0012674,              0.0012674
                     39,                0.51538,                0.40821,                0.97745,                0.91362,                0.90291,                0.95578,                0.85543,                0.50512,                0.43056,                0.92663,              0.0012476,              0.0012476,              0.0012476
                     40,                0.49778,                0.40571,                0.97272,                0.91786,                0.88415,                0.95129,                0.84022,                0.52409,                 0.4601,                0.90699,              0.0012278,              0.0012278,              0.0012278
                     41,                0.51367,                0.40856,                0.97848,                 0.8959,                0.89213,                0.94299,                0.83725,                0.53326,                0.45148,                0.92879,               0.001208,               0.001208,               0.001208
                     42,                0.49979,                0.40504,                0.97178,                0.88209,                0.92683,                0.94283,                0.83176,                0.54193,                0.43869,                0.93562,              0.0011882,              0.0011882,              0.0011882
                     43,                0.47737,                0.39999,                0.95783,                0.88864,                0.90854,                0.95008,                0.85223,                0.49807,                0.44123,                0.92367,              0.0011684,              0.0011684,              0.0011684
                     44,                0.47497,                0.38997,                0.95813,                0.84088,                0.94512,                0.94198,                0.84191,                0.52806,                0.44729,                0.90711,              0.0011486,              0.0011486,              0.0011486
                     45,                0.46963,                0.38857,                0.95111,                0.91287,                0.89439,                0.95283,                 0.8572,                0.47443,                0.42251,                 0.8988,              0.0011288,              0.0011288,              0.0011288
                     46,                0.47045,                0.39182,                0.95599,                0.92012,                0.84286,                 0.9411,                0.82903,                0.53595,                0.44518,                0.95746,               0.001109,               0.001109,               0.001109
                     47,                0.46075,                0.39319,                0.95146,                0.91107,                0.90854,                0.95056,                0.85543,                0.48154,                0.42191,                0.90754,              0.0010892,              0.0010892,              0.0010892
                     48,                0.46294,                0.38047,                0.95494,                 0.8633,                0.92423,                0.94456,                0.84337,                0.48568,                0.43611,                0.92646,              0.0010694,              0.0010694,              0.0010694
                     49,                0.45813,                0.37558,                0.95275,                0.90853,                0.89634,                0.94323,                0.84884,                0.48665,                0.45073,                0.89677,              0.0010496,              0.0010496,              0.0010496
                     50,                0.46531,                0.38008,                 0.9524,                0.92497,                0.90201,                0.96505,                0.86562,                0.47629,                0.37818,                 0.9139,              0.0010298,              0.0010298,              0.0010298
                     51,                0.46552,                0.38179,                0.95405,                0.95965,                0.87009,                0.96549,                0.87579,                0.44506,                0.37574,                0.89306,                0.00101,                0.00101,                0.00101
                     52,                0.45361,                0.37831,                  0.957,                0.89278,                0.91392,                0.95043,                0.83726,                 0.5208,                0.48798,                0.91152,              0.0009902,              0.0009902,              0.0009902
                     53,                0.45363,                0.36528,                0.94336,                0.91246,                0.89024,                0.94714,                0.83617,                0.53427,                0.45283,                0.92552,              0.0009704,              0.0009704,              0.0009704
